"Symbol","LTP","%Chng","Volume"
"SBIN","193.45","-1.55","5,47,88,249"
"BHARTIARTL","520.85","-1.47","1,90,14,347"
"BPCL","407.95","-1.28","1,14,24,867"
"RELIANCE","2,094.05","-0.93","1,42,97,224"
"TATAMOTORS","123.70","-0.72","6,11,54,591"
